Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.960,2,0,41.914
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.940,3,0,219.582
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.620,2,0,6.871
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.578,5,0.45,-383.031
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.516
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.860,7,0,14.169
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.280,4,0,1.966
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.715
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.783
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.900,5,0,34.470
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.309
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.357
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.443
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.592
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.810,5,0.8,-123.858
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.880,6,0,13.318
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.500,2,0,9.990
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.560,2,0,2.482
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.480,3,0.2,16.011
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.720,4,0.2,7.384
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.460,7,0,5.060
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.340,7,0,15.688
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.020
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.630,3,0,240.265
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.222
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.570,3,0,11.774
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.430,7,0.5,-1665.052
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.053
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.200,3,0.2,15.525
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.102
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.709
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.760,2,0.2,3.546
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.947
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.474
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.920,5,0.6,-147.963
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.399,3,0.32,-46.976
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.756
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.556
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.880,2,0,3.894
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.562
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.980,2,0,19.771
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.460,2,0,8.206
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.960,4,0,8.478
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.000,3,0,4.950
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.800,2,0,6.104
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.220,6,0,17.963
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.180,6,0,35.335
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.160,2,0,2.957
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.990,1,0,17.098
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.260,7,0,6.257
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.950,5,0,298.686
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.560,6,0,52.140
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.400,5,0,15.552
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.410,5,0.1,7.098
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.560,2,0,6.989
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.000,2,0,3.300
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.480,4,0.2,16.362
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.680,1,0,0.840
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.980,2,0,6.151
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.361
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.730,3,0,68.963
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.760,4,0,22.333
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.223
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.302
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.880,2,0,35.664
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.050,3,0,8.763
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.391
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.040,2,0.2,1.213
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.934
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.825
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.240,3,0.2,2.724
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.300,5,0.6,-14.475
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.160,1,0,56.203
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.740,3,0,8.035
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.900,5,0,4.172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.390,1,0,6.203
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.808
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.955
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.960,2,0,33.216
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.990,1,0,6.797
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.160,2,0,2.957
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.857
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.100,3,0,6.633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.278
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.480,1,0,3.110
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.960,2,0,6.221
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.340,3,0,16.535
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.960,2,0,16.150
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788
